eps,min_samples,n_clusters,noise_rate,silhouette_core,combined
0.3,3,0,1.0,-1.0,-0.0
0.4,3,3,0.9741219963031423,0.6811716816512151,0.0176273632959649
0.5,3,22,0.811460258780037,0.33561880379051745,0.06327748241521769
0.6000000000000001,3,14,0.6118299445471349,-0.08850130956894121,-0.03435355824302709
0.7,3,9,0.4362292051756007,-0.16386251080286093,-0.09238089795725063
0.8,3,8,0.3142329020332717,-0.07154169590078718,-0.049060941181501005
0.9000000000000001,3,9,0.22365988909426993,-0.040623360208575376,-0.03153754396968883
1.0,3,3,0.19408502772643255,0.15841828646112113,0.1276716689409405
1.1,3,4,0.14417744916820707,0.14846258360347034,0.1270576270026003
1.2,3,5,0.1016635859519408,0.11017652581650732,0.0989755851142746
1.3,3,4,0.08133086876155271,0.35227742912495447,0.3236263997691356
1.4000000000000001,3,3,0.06654343807763397,0.28958093104787136,0.2703112202942237
1.5000000000000002,3,2,0.0406654343807763,0.5096295905403483,0.48890528186772786
1.6,3,2,0.0369685767097967,0.506318575186548,0.48760069810016915
1.7000000000000002,3,2,0.02957486136783738,0.5001103359181244,0.4853196420647233
1.8,3,2,0.025878003696857665,0.4961522123422722,0.48331278355707474
1.9000000000000001,3,1,0.012939001848428888,-1.0,-0.9870609981515711
2.0,3,1,0.009242144177449174,-1.0,-0.9907578558225508
2.1,3,1,0.009242144177449174,-1.0,-0.9907578558225508
2.2,3,1,0.007393715341959317,-1.0,-0.9926062846580407
2.3,3,1,0.007393715341959317,-1.0,-0.9926062846580407
2.4,3,1,0.007393715341959317,-1.0,-0.9926062846580407
2.5,3,1,0.007393715341959317,-1.0,-0.9926062846580407
2.6,3,1,0.007393715341959317,-1.0,-0.9926062846580407
2.7,3,1,0.007393715341959317,-1.0,-0.9926062846580407
2.8,3,1,0.00554528650646946,-1.0,-0.9944547134935305
2.9,3,1,0.00554528650646946,-1.0,-0.9944547134935305
3.0,3,1,0.00554528650646946,-1.0,-0.9944547134935305
3.1,3,1,0.00554528650646946,-1.0,-0.9944547134935305
3.2,3,1,0.00554528650646946,-1.0,-0.9944547134935305
3.3,3,1,0.00554528650646946,-1.0,-0.9944547134935305
3.4,3,1,0.00554528650646946,-1.0,-0.9944547134935305
3.5,3,1,0.00554528650646946,-1.0,-0.9944547134935305
3.6,3,1,0.00554528650646946,-1.0,-0.9944547134935305
3.7,3,1,0.00554528650646946,-1.0,-0.9944547134935305
3.8,3,1,0.00554528650646946,-1.0,-0.9944547134935305
3.9,3,1,0.00554528650646946,-1.0,-0.9944547134935305
4.0,3,1,0.00554528650646946,-1.0,-0.9944547134935305
0.3,5,0,1.0,-1.0,-0.0
0.4,5,0,1.0,-1.0,-0.0
0.5,5,2,0.9685767097966729,0.6771369809082548,0.02127787185848487
0.6000000000000001,5,5,0.7818853974121996,0.1868812952854377,0.04076153945227661
0.7,5,4,0.5489833641404807,-0.019979817556179363,-0.00901123009927498
0.8,5,4,0.43438077634011085,-0.06211002611847246,-0.03513062475462583
0.9000000000000001,5,4,0.321626617375231,0.2596500696309536,0.1761396960343068
1.0,5,2,0.2532347504621072,0.2520130550819302,0.18819459196506436
1.1,5,2,0.18114602587800366,0.4102085280491613,0.33590088341179014
1.2,5,1,0.14232902033271722,-1.0,-0.8576709796672828
1.3,5,1,0.11829944547134941,-1.0,-0.8817005545286506
1.4000000000000001,5,1,0.09426987060998149,-1.0,-0.9057301293900185
1.5000000000000002,5,1,0.06839186691312382,-1.0,-0.9316081330868762
1.6,5,1,0.060998151571164505,-1.0,-0.9390018484288355
1.7000000000000002,5,1,0.05360443622920519,-1.0,-0.9463955637707948
1.8,5,1,0.044362292051756014,-1.0,-0.955637707948244
1.9000000000000001,5,1,0.02957486136783738,-1.0,-0.9704251386321626
2.0,5,1,0.027726432532347522,-1.0,-0.9722735674676525
2.1,5,1,0.014787430683918634,-1.0,-0.9852125693160814
2.2,5,1,0.009242144177449174,-1.0,-0.9907578558225508
2.3,5,1,0.009242144177449174,-1.0,-0.9907578558225508
2.4,5,1,0.007393715341959317,-1.0,-0.9926062846580407
2.5,5,1,0.007393715341959317,-1.0,-0.9926062846580407
2.6,5,1,0.007393715341959317,-1.0,-0.9926062846580407
2.7,5,1,0.007393715341959317,-1.0,-0.9926062846580407
2.8,5,1,0.00554528650646946,-1.0,-0.9944547134935305
2.9,5,1,0.00554528650646946,-1.0,-0.9944547134935305
3.0,5,1,0.00554528650646946,-1.0,-0.9944547134935305
3.1,5,1,0.00554528650646946,-1.0,-0.9944547134935305
3.2,5,1,0.00554528650646946,-1.0,-0.9944547134935305
3.3,5,1,0.00554528650646946,-1.0,-0.9944547134935305
3.4,5,1,0.00554528650646946,-1.0,-0.9944547134935305
3.5,5,1,0.00554528650646946,-1.0,-0.9944547134935305
3.6,5,1,0.00554528650646946,-1.0,-0.9944547134935305
3.7,5,1,0.00554528650646946,-1.0,-0.9944547134935305
3.8,5,1,0.00554528650646946,-1.0,-0.9944547134935305
3.9,5,1,0.00554528650646946,-1.0,-0.9944547134935305
4.0,5,1,0.00554528650646946,-1.0,-0.9944547134935305
0.3,8,0,1.0,-1.0,-0.0
0.4,8,0,1.0,-1.0,-0.0
0.5,8,0,1.0,-1.0,-0.0
0.6000000000000001,8,2,0.9574861367837338,0.6125379658451331,0.026041355294709898
0.7,8,3,0.7430683918669132,0.01650342925850139,0.004240252619097398
0.8,8,2,0.5711645101663586,0.2799610149826687,0.12005721899441614
0.9000000000000001,8,1,0.43807763401109057,-1.0,-0.5619223659889094
1.0,8,1,0.32902033271719033,-1.0,-0.6709796672828097
1.1,8,1,0.24768946395563773,-1.0,-0.7523105360443623
1.2,8,1,0.20147874306839186,-1.0,-0.7985212569316081
1.3,8,1,0.15711645101663585,-1.0,-0.8428835489833642
1.4000000000000001,8,1,0.12569316081330872,-1.0,-0.8743068391866913
1.5000000000000002,8,1,0.08872458410351203,-1.0,-0.911275415896488
1.6,8,1,0.07208872458410354,-1.0,-0.9279112754158965
1.7000000000000002,8,1,0.06284658040665436,-1.0,-0.9371534195933456
1.8,8,1,0.055452865064695045,-1.0,-0.944547134935305
1.9000000000000001,8,1,0.04251386321626616,-1.0,-0.9574861367837338
2.0,8,1,0.031423290203327126,-1.0,-0.9685767097966729
2.1,8,1,0.02957486136783738,-1.0,-0.9704251386321626
2.2,8,2,0.014787430683918634,0.5090142663462106,0.5014872531654904
2.3,8,1,0.011090573012939031,-1.0,-0.988909426987061
2.4,8,1,0.007393715341959317,-1.0,-0.9926062846580407
2.5,8,1,0.007393715341959317,-1.0,-0.9926062846580407
2.6,8,1,0.007393715341959317,-1.0,-0.9926062846580407
2.7,8,1,0.007393715341959317,-1.0,-0.9926062846580407
2.8,8,1,0.00554528650646946,-1.0,-0.9944547134935305
2.9,8,1,0.00554528650646946,-1.0,-0.9944547134935305
3.0,8,1,0.00554528650646946,-1.0,-0.9944547134935305
3.1,8,1,0.00554528650646946,-1.0,-0.9944547134935305
3.2,8,1,0.00554528650646946,-1.0,-0.9944547134935305
3.3,8,1,0.00554528650646946,-1.0,-0.9944547134935305
3.4,8,1,0.00554528650646946,-1.0,-0.9944547134935305
3.5,8,1,0.00554528650646946,-1.0,-0.9944547134935305
3.6,8,1,0.00554528650646946,-1.0,-0.9944547134935305
3.7,8,1,0.00554528650646946,-1.0,-0.9944547134935305
3.8,8,1,0.00554528650646946,-1.0,-0.9944547134935305
3.9,8,1,0.00554528650646946,-1.0,-0.9944547134935305
4.0,8,1,0.00554528650646946,-1.0,-0.9944547134935305
0.3,10,0,1.0,-1.0,-0.0
0.4,10,0,1.0,-1.0,-0.0
0.5,10,0,1.0,-1.0,-0.0
0.6000000000000001,10,1,0.9815157116451017,-1.0,-0.01848428835489835
0.7,10,2,0.8040665434380776,0.37120790255167974,0.07273204745005186
0.8,10,2,0.6062846580406654,0.28898225687681856,0.11377674808643688
0.9000000000000001,10,1,0.4731977818853974,-1.0,-0.5268022181146026
1.0,10,1,0.36968576709796674,-1.0,-0.6303142329020333
1.1,10,2,0.27911275415896486,0.3278399076899858,0.23633560813141305
1.2,10,1,0.21811460258780035,-1.0,-0.7818853974121996
1.3,10,1,0.1756007393715342,-1.0,-0.8243992606284658
1.4000000000000001,10,1,0.16081330868761556,-1.0,-0.8391866913123844
1.5000000000000002,10,1,0.1016635859519408,-1.0,-0.8983364140480592
1.6,10,1,0.08687615526802217,-1.0,-0.9131238447319778
1.7000000000000002,10,1,0.06284658040665436,-1.0,-0.9371534195933456
1.8,10,1,0.05730129390018479,-1.0,-0.9426987060998152
1.9000000000000001,10,1,0.04621072088724587,-1.0,-0.9537892791127541
2.0,10,1,0.0406654343807763,-1.0,-0.9593345656192237
2.1,10,1,0.031423290203327126,-1.0,-0.9685767097966729
2.2,10,1,0.025878003696857665,-1.0,-0.9741219963031423
2.3,10,1,0.02402957486136781,-1.0,-0.9759704251386322
2.4,10,1,0.020332717190388205,-1.0,-0.9796672828096118
2.5,10,1,0.011090573012939031,-1.0,-0.988909426987061
2.6,10,1,0.007393715341959317,-1.0,-0.9926062846580407
2.7,10,1,0.007393715341959317,-1.0,-0.9926062846580407
2.8,10,1,0.007393715341959317,-1.0,-0.9926062846580407
2.9,10,1,0.00554528650646946,-1.0,-0.9944547134935305
3.0,10,1,0.00554528650646946,-1.0,-0.9944547134935305
3.1,10,1,0.00554528650646946,-1.0,-0.9944547134935305
3.2,10,1,0.00554528650646946,-1.0,-0.9944547134935305
3.3,10,1,0.00554528650646946,-1.0,-0.9944547134935305
3.4,10,1,0.00554528650646946,-1.0,-0.9944547134935305
3.5,10,1,0.00554528650646946,-1.0,-0.9944547134935305
3.6,10,1,0.00554528650646946,-1.0,-0.9944547134935305
3.7,10,1,0.00554528650646946,-1.0,-0.9944547134935305
3.8,10,1,0.00554528650646946,-1.0,-0.9944547134935305
3.9,10,1,0.00554528650646946,-1.0,-0.9944547134935305
4.0,10,1,0.00554528650646946,-1.0,-0.9944547134935305
