K,silhouette,best_covariance_type
2,0.3484486924337826,full
3,0.28406079259491623,tied
4,0.28777632193709246,tied
5,0.2854842956106196,tied
6,0.22126692908557918,spherical
7,0.1995251779388112,spherical
8,0.20141402806995468,tied
9,0.18782320906507707,tied
10,0.17505951399253034,spherical
