K,silhouette
2,0.31670875056429615
3,0.29857818785179724
4,0.302343340150594
5,0.19282783855230087
6,0.20546362690368256
7,0.20912903575126823
8,0.2194630301954233
9,0.2133333181893131
10,0.172729397028241
