K,silhouette
2,0.3534515915149774
3,0.2956057619526903
4,0.30623759179221266
5,0.25220932301986076
6,0.25119298290038333
7,0.2104826494112197
8,0.20846519750862408
9,0.20022382134969272
10,0.2016446771947473
