K,silhouette
2,0.33109346358653563
3,0.34243275047101385
4,0.28660524827485434
5,0.2071075969130466
6,0.21103498769924467
7,0.1982967483755841
8,0.1813795301936415
9,0.1700503903914109
10,0.17142079385426462
