eps,min_samples,n_clusters,noise_rate,silhouette_core,combined
0.5,5,2,0.9685767097966729,0.6771369809082548,0.02127787185848487
0.75,5,5,0.4861367837338263,-0.06507387803511021,-0.03343907226203445
1.0,5,2,0.2532347504621072,0.2520130550819302,0.18819459196506436
1.25,5,1,0.12384473197781887,-1.0,-0.8761552680221811
1.5,5,1,0.06839186691312382,-1.0,-0.9316081330868762
1.75,5,1,0.04805914972273573,-1.0,-0.9519408502772643
2.0,5,1,0.027726432532347522,-1.0,-0.9722735674676525
2.25,5,1,0.009242144177449174,-1.0,-0.9907578558225508
2.5,5,1,0.007393715341959317,-1.0,-0.9926062846580407
2.75,5,1,0.00554528650646946,-1.0,-0.9944547134935305
3.0,5,1,0.00554528650646946,-1.0,-0.9944547134935305
