IDCode,kmeans_label,agglomerative_label,birch_label,gmm_label,gmm_bic_best_label,gmm_aic_best_label,dbscan_label,dbscan_combined_label,dbscan_selected_label
cahe192,0,1,1,0,4,4,-1,-1,0
feso129,0,1,1,0,1,2,-1,0,0
tufa140,0,1,1,0,1,2,-1,-1,0
zigi489,1,0,0,1,5,7,-1,0,0
dahi696,0,1,1,0,4,4,-1,0,0
quhe482,1,0,0,1,5,7,-1,0,0
taxa827,0,1,1,0,4,6,-1,0,0
vuga321,0,1,1,0,4,6,-1,0,0
nycu731,0,1,1,0,4,4,-1,0,0
raxy329,0,1,1,0,4,6,-1,0,0
nyfe489,0,1,1,0,1,8,-1,0,0
texu966,1,0,0,0,0,5,-1,0,0
kifo712,1,0,0,0,0,5,-1,0,0
pajo050,1,0,0,1,0,5,-1,0,0
hefy659,1,0,0,0,0,5,-1,0,0
tujy672,0,1,1,0,4,6,-1,0,0
cyfe247,1,0,0,1,5,7,-1,0,0
xori482,0,1,1,0,0,6,-1,0,0
raje697,0,1,1,0,4,8,-1,0,0
biwu043,1,0,0,0,0,5,-1,0,0
cylu852,0,1,1,0,4,6,-1,0,0
fode209,1,0,1,1,2,0,-1,-1,0
woju333,1,0,0,0,0,5,-1,0,0
saca329,0,1,1,0,4,4,-1,0,0
jizi110,0,0,1,0,2,0,-1,0,0
vyxi492,0,1,1,0,1,2,-1,0,0
xehy451,0,0,1,0,2,0,-1,0,0
feke878,1,0,1,0,0,5,-1,0,0
rozu771,1,0,1,1,2,0,-1,-1,0
duvi856,0,1,1,0,1,2,-1,0,0
nexu635,0,1,1,0,0,6,1,0,0
cozi454,1,0,1,1,2,0,-1,-1,0
saze236,0,0,1,0,0,6,-1,0,0
quzy338,0,1,1,0,4,6,-1,0,0
lula174,0,1,1,0,1,4,-1,0,0
buzo685,1,0,0,0,0,5,-1,0,0
huby293,0,1,1,0,1,2,-1,0,0
dyhi182,0,0,1,0,0,6,-1,0,0
tatu362,0,1,1,0,4,8,-1,0,0
bene344,0,1,1,0,2,0,-1,-1,0
keho061,1,0,0,0,0,5,-1,0,0
vyxy108,1,0,0,0,0,5,-1,0,0
zusa663,0,1,1,0,4,4,-1,0,0
nehe056,0,1,1,0,1,2,-1,-1,0
myve834,0,1,1,0,1,2,-1,0,0
tyhy481,1,0,1,0,0,5,-1,0,0
sati762,0,1,1,0,0,5,-1,0,0
biku776,1,0,1,0,0,5,-1,0,0
wify666,0,1,1,0,1,2,-1,0,0
sony276,0,1,1,0,4,4,-1,0,0
tusi463,0,1,1,0,0,6,-1,0,0
baco446,1,0,0,1,5,7,-1,0,0
coni238,1,0,0,1,0,5,-1,-1,0
tuvu087,1,0,0,1,5,7,-1,-1,0
vuci475,1,0,0,1,0,5,-1,-1,0
seto741,1,0,0,1,3,1,-1,-1,0
jewe923,0,1,1,0,4,6,-1,0,0
jaqy340,1,0,0,1,0,5,-1,0,0
pubu440,1,0,0,1,3,1,-1,-1,0
gyjy255,0,1,1,0,0,6,-1,0,0
zyte492,0,1,1,0,4,4,0,0,0
ruco451,1,0,0,1,0,5,-1,0,0
loda300,1,0,0,1,0,5,-1,0,0
moly152,1,0,0,1,5,7,-1,-1,0
cuba307,0,1,1,0,0,6,-1,0,0
jupo405,1,0,0,1,5,7,-1,0,0
xuke183,0,1,1,0,0,6,1,0,0
mado232,1,0,0,1,5,7,-1,-1,0
zafy372,0,1,1,0,1,2,-1,0,0
gyly160,1,0,0,0,0,5,-1,0,0
tapi010,1,0,0,1,3,1,-1,-1,0
gelu604,0,1,1,0,1,2,-1,-1,0
qiqi041,1,0,0,1,0,5,-1,0,0
ratu271,0,1,1,0,0,6,-1,0,0
kyqu130,0,1,1,0,4,4,0,0,0
lucu601,0,1,1,0,4,4,-1,0,0
kama922,0,0,1,0,0,6,-1,0,0
zoma564,0,1,1,0,4,6,-1,0,0
puju088,0,0,1,0,0,6,-1,0,0
jufy997,0,1,1,0,2,0,-1,-1,0
wyja070,0,1,1,0,2,0,-1,0,0
dasy955,0,0,0,0,0,6,-1,0,0
wyki565,1,0,0,1,0,5,-1,0,0
garu074,0,1,1,0,4,4,0,0,0
qyxy586,0,1,1,0,4,6,-1,0,0
kegi864,0,1,1,0,1,4,-1,0,0
gyge774,0,1,1,0,4,6,-1,0,0
vyda893,1,0,0,1,3,1,-1,-1,1
vuvy608,0,1,1,0,1,8,-1,0,0
vizo712,0,1,1,0,4,6,-1,0,0
givi158,1,0,1,0,0,5,-1,0,0
caro445,0,1,1,0,4,6,-1,0,0
nene689,0,1,1,0,1,8,-1,0,0
ryfy568,1,0,0,0,0,5,-1,0,0
johy783,1,0,0,1,5,7,-1,0,0
sulo956,1,0,1,0,0,5,-1,0,0
gony054,0,1,1,0,4,4,-1,0,0
puca767,0,0,1,0,0,6,-1,0,0
baky109,1,0,0,1,5,7,-1,0,0
mabo887,0,1,1,0,0,6,-1,0,0
cona428,0,1,1,0,2,0,-1,-1,0
lilo882,0,1,1,0,4,6,-1,0,0
gycy436,0,1,1,0,0,6,-1,0,0
jyri631,0,1,1,0,2,8,-1,0,0
safu128,0,1,1,0,1,8,-1,0,0
fore104,0,1,1,0,4,4,-1,0,0
zabe850,0,1,1,0,4,4,-1,0,0
woci389,0,1,1,0,4,6,-1,0,0
kygi723,0,0,1,0,4,6,-1,0,0
qejy219,0,1,1,0,1,4,-1,0,0
jago498,0,1,1,0,4,6,-1,0,0
buby593,0,1,1,0,4,4,-1,0,0
dapu822,0,1,1,1,2,0,-1,-1,0
sugu976,1,0,0,1,5,5,-1,0,0
wuxa997,1,0,0,1,0,5,-1,0,0
tiqy778,0,1,1,0,4,6,-1,0,0
xyfe491,1,0,0,1,5,7,-1,0,0
ryhy064,0,1,1,0,4,4,-1,0,0
kufi222,0,1,1,0,0,6,-1,0,0
xaja332,0,1,1,0,0,6,-1,0,0
fofa613,1,0,0,1,5,7,-1,-1,0
viba035,1,0,0,1,5,7,-1,0,0
qewy924,0,1,1,0,4,8,-1,0,0
pytu496,0,0,0,0,0,5,-1,0,0
tosa657,0,1,1,0,4,4,0,0,0
keri121,0,1,1,0,1,2,-1,-1,0
bofi991,1,0,0,0,0,5,-1,0,0
bihi184,1,0,0,1,3,1,-1,-1,1
piro376,0,0,1,0,0,6,-1,0,0
zade686,1,0,2,1,6,3,-1,-1,-1
zejy480,1,0,0,1,5,7,-1,0,0
zapy404,1,0,0,0,0,5,-1,0,0
lusi512,1,0,1,0,0,5,-1,0,0
sedo490,1,0,0,1,3,1,-1,-1,0
davu999,0,1,1,0,4,6,-1,0,0
buby236,1,0,0,1,3,1,-1,-1,0
weru214,0,1,1,0,4,6,-1,0,0
tyly265,1,0,0,1,3,1,-1,-1,0
nise834,1,0,0,1,3,1,-1,-1,0
voxy002,1,0,0,1,3,1,-1,-1,0
fypi681,1,0,1,0,0,5,-1,0,0
xopa120,1,0,0,1,3,1,-1,-1,0
wari483,1,0,0,0,0,5,-1,-1,0
kegy317,0,1,1,0,4,6,-1,0,0
geka905,0,0,1,0,4,6,-1,0,0
lore323,1,0,0,1,3,1,-1,-1,0
vane668,0,1,1,0,1,8,-1,-1,0
zuxy510,1,0,0,1,3,1,-1,-1,1
masu336,0,1,1,0,0,6,-1,0,0
xise560,1,0,0,0,0,5,-1,0,0
zomi496,1,0,0,1,5,0,-1,0,0
lilu285,1,0,0,1,3,1,-1,-1,0
heqi003,1,0,0,1,3,1,-1,-1,0
jise415,0,1,1,0,1,4,-1,0,0
vabe169,0,1,1,0,1,4,-1,0,0
kofa904,1,0,0,1,5,7,-1,0,0
peqo117,1,0,0,1,3,1,-1,-1,1
gaho243,0,1,1,0,0,6,-1,0,0
mude815,1,0,0,1,3,1,-1,-1,0
raxe285,1,0,0,1,0,5,-1,0,0
qami382,0,1,1,0,4,4,-1,0,0
bebo956,1,0,0,1,5,7,-1,-1,0
cofi309,0,0,1,0,2,0,-1,-1,0
buqe642,0,1,1,0,4,4,0,0,0
vuzo690,0,0,1,0,2,0,-1,0,0
posy958,0,1,1,1,4,6,-1,-1,0
gaga585,0,1,1,0,0,6,-1,0,0
vopa930,0,1,1,0,0,6,-1,0,0
xutu412,0,1,1,0,1,2,-1,0,0
doxi119,1,0,1,1,5,7,-1,-1,0
feqy379,0,1,1,0,4,6,-1,0,0
xypo299,1,0,0,1,5,7,-1,-1,0
gahu141,0,1,1,0,1,4,0,0,0
kyse146,0,1,1,0,4,4,-1,0,0
sedi312,0,1,1,0,4,6,-1,0,0
nasi298,0,1,1,0,1,4,-1,0,0
naky151,1,0,1,1,2,0,-1,-1,0
koqa816,0,1,1,0,1,2,-1,0,0
sila763,0,1,1,0,4,4,-1,0,0
pody147,0,1,1,0,4,4,-1,0,0
voza333,0,1,1,0,1,2,-1,0,0
tiro932,0,1,1,0,4,6,-1,0,0
wujy562,0,1,1,0,2,8,-1,0,0
hamu369,0,1,1,0,1,8,-1,0,0
nape687,1,0,0,1,3,1,-1,-1,0
gevi782,0,0,1,0,0,6,-1,0,0
qoha890,0,1,1,0,1,2,-1,0,0
fili803,0,1,1,0,1,4,-1,0,0
puce552,1,0,0,1,5,7,-1,0,0
buny935,0,1,1,0,4,6,-1,0,0
pimi228,1,0,1,0,0,5,-1,0,0
kyjo289,0,1,1,0,4,6,-1,0,0
bepo134,0,1,1,0,4,6,-1,0,0
kise589,0,1,1,0,4,6,-1,0,0
remi231,1,0,0,0,0,5,-1,0,0
qyjo579,0,1,1,0,2,0,-1,-1,0
cyhu257,1,0,0,1,5,7,-1,0,0
diha837,0,1,1,0,4,6,-1,0,0
ware232,0,1,1,0,1,2,-1,0,0
hyge979,0,1,1,0,2,8,-1,0,0
biqe951,0,1,1,0,4,6,-1,0,0
jide437,0,1,1,0,1,2,-1,0,0
zipu412,0,1,1,0,4,6,-1,0,0
vate767,0,1,1,0,4,6,-1,0,0
mefy253,0,1,1,0,4,8,-1,0,0
qafe413,1,0,0,1,5,5,-1,0,0
lota555,1,0,0,1,3,1,-1,-1,0
mecu237,0,1,1,0,2,6,-1,0,0
cidy099,0,1,1,0,1,4,-1,0,0
xoba600,0,1,1,0,4,4,-1,0,0
joce161,1,0,0,1,3,1,-1,-1,0
kywu572,0,1,1,0,1,4,-1,0,0
jefi901,0,1,1,0,4,4,0,0,0
mari840,0,1,1,0,2,0,-1,-1,0
nypy058,1,0,0,1,0,5,-1,-1,0
rino885,0,1,1,0,4,6,-1,0,0
maju644,1,0,0,1,5,7,-1,-1,0
qosy291,0,1,1,0,4,6,-1,0,0
posy537,0,1,1,0,1,4,-1,0,0
xoki390,1,0,0,1,5,7,-1,0,0
fagi164,1,0,0,0,5,5,-1,0,0
zozy719,0,1,1,0,4,6,-1,0,0
bopa107,0,1,1,0,4,8,-1,-1,0
jyly989,1,0,0,0,0,5,-1,0,0
togu404,0,1,1,0,4,6,-1,0,0
gosa272,1,0,0,0,0,5,-1,0,0
fovo989,0,1,1,0,4,4,0,0,0
sira606,0,1,1,0,0,6,-1,0,0
loby351,0,1,1,0,0,6,-1,0,0
fike806,0,1,1,0,0,6,-1,0,0
fafe171,1,0,0,1,5,7,-1,-1,0
zyvo780,0,1,1,0,4,4,-1,0,0
xune455,0,1,1,0,0,6,-1,0,0
vamu972,0,1,1,0,1,4,-1,0,0
suzo040,1,0,1,1,2,0,-1,-1,0
wype120,1,0,0,1,0,5,-1,0,0
jicu869,1,0,0,0,0,5,-1,0,0
wero373,0,1,1,0,4,4,-1,0,0
juqo313,0,1,1,0,4,4,-1,0,0
vexo008,1,0,0,1,5,7,-1,0,0
punu787,1,0,0,1,5,7,-1,-1,0
tomo782,1,0,0,1,3,1,-1,-1,0
cupe992,1,0,0,1,3,1,-1,-1,0
kyjo535,0,0,0,0,0,5,-1,0,0
raja244,1,0,0,0,0,5,-1,0,0
pino324,0,0,1,1,2,0,-1,-1,0
qutu379,1,0,0,1,5,7,-1,-1,0
nolu547,1,0,1,1,2,0,-1,-1,0
cape571,1,0,0,1,3,1,-1,-1,0
coma628,0,1,1,0,4,6,-1,0,0
mida684,0,1,1,0,1,4,-1,0,0
gaqe214,0,1,1,0,4,4,-1,0,0
pufe463,0,1,1,0,1,2,-1,0,0
fifa517,0,1,1,0,1,4,-1,0,0
wuzy577,0,1,1,0,1,2,-1,-1,0
sire515,0,1,1,0,1,2,-1,0,0
xyhi085,0,1,1,0,1,4,-1,0,0
nexy906,0,1,1,0,1,4,-1,0,0
pyzi618,0,1,1,0,1,2,-1,-1,0
muku118,0,1,1,0,4,6,-1,0,0
kewi488,0,0,0,0,0,6,-1,0,0
xafu780,1,0,0,1,3,1,-1,-1,0
wowy820,1,0,0,1,3,1,-1,-1,0
ryzo168,0,1,1,0,0,6,1,0,0
xavy753,1,0,0,1,3,1,-1,-1,0
deje129,1,0,0,1,3,1,-1,-1,0
