IDCode,S1,S2,S3,S5,S6,TOTAL,gmm_bic_best_label
paxi044,6,5,0,2,2,9,3
pivi588,16,34,5,4,7,52,1
weda047,11,32,5,5,4,48,4
zoka501,7,20,5,5,5,38,0
hyku415,8,28,5,3,4,42,2
syvi476,8,14,2,2,4,22,3
hopi338,11,22,3,4,3,33,6
kuqy630,12,31,5,4,4,45,2
node314,9,24,3,5,2,36,0
mybu425,12,30,2,3,2,39,0
pyqy867,11,31,5,6,1,45,4
tywo507,13,31,5,4,5,47,4
nuhi137,10,24,1,3,2,30,5
mory430,6,20,3,4,2,29,6
vuho146,12,19,3,6,5,35,0
nysa238,10,18,3,3,4,30,5
kisa730,11,30,4,5,3,42,2
doza768,7,25,3,3,2,35,5
sapu497,8,24,5,3,4,36,0
dila385,14,27,3,5,4,41,0
pymu787,11,20,3,5,3,33,2
bejy525,9,28,3,5,2,40,0
bajo794,14,30,4,2,4,43,4
dugu064,1,17,4,4,3,28,5
hiwu738,12,29,4,6,6,47,4
zucy684,9,30,3,7,3,45,2
huxe147,10,22,2,5,5,36,0
woza563,9,23,4,5,1,35,0
neku787,11,27,4,7,4,44,4
navo572,8,22,5,3,5,37,0
gola051,9,24,4,3,5,38,0
pyzo535,8,13,3,3,0,19,3
xoky149,11,28,2,4,2,38,0
loxu319,12,33,5,7,4,51,1
qisu640,9,17,3,6,2,30,5
gery678,6,13,0,4,3,20,3
huho039,10,27,5,7,3,44,2
wozo826,4,15,2,5,3,27,5
soru820,4,16,5,4,1,26,5
fari709,5,13,0,3,0,16,3
qapo730,10,21,3,5,3,32,5
najy705,8,25,2,4,2,33,5
sejy814,11,33,5,4,5,47,4
laze716,9,24,3,7,5,40,0
kojo378,6,19,2,4,0,26,5
tepu554,12,31,5,5,3,47,4
dyva324,10,16,3,5,2,26,5
pusu302,6,12,0,2,0,14,3
xamy888,11,23,4,6,3,37,0
ninu744,2,19,0,3,0,22,3
punu537,5,28,4,4,2,38,0
zufa556,1,8,0,4,0,12,3
losy787,7,14,3,4,3,24,5
fuxa711,8,24,4,4,1,33,5
myzo000,8,28,5,4,3,42,0
jygo886,8,17,2,5,1,27,5
dyzo734,2,2,2,1,0,5,3
ciky680,11,33,4,5,5,47,4
nopo152,8,18,3,4,4,31,5
tivy194,9,28,4,3,1,36,0
biry098,7,27,2,4,0,33,5
tebo981,12,27,5,7,6,48,4
jyma323,9,27,4,7,4,44,4
cani065,10,27,3,7,6,45,4
puxi257,11,18,3,4,3,30,5
jemy201,8,29,4,5,1,39,0
woqa919,11,25,5,5,6,44,4
huze427,10,16,0,4,6,26,5
jaxe723,13,27,5,6,6,46,4
xamy676,8,24,5,3,3,37,0
lowy720,11,26,5,6,4,41,2
mixa281,8,16,5,4,5,32,5
sipy389,5,14,3,4,3,24,5
bube109,10,29,5,5,3,44,4
boqe999,11,31,5,6,4,48,4
guzo911,9,28,3,8,2,41,0
guxe800,10,25,5,5,4,40,0
dove442,10,27,4,5,2,38,0
zivi062,5,23,5,4,5,37,0
lury747,7,18,2,6,3,30,5
tuve726,11,23,5,5,4,39,0
vihu826,11,29,4,6,6,45,2
hata313,7,23,1,7,3,36,0
hoki309,5,20,4,5,2,31,5
kyzy131,10,19,2,3,4,30,5
syti148,9,31,5,7,1,44,4
syco853,13,32,5,6,5,50,1
sefy975,11,23,4,2,2,31,5
jese656,11,28,5,5,6,46,4
guge611,10,26,1,5,0,32,5
mesi806,8,22,4,4,4,36,2
sesi698,10,30,5,6,3,46,4
gopa505,9,25,4,5,3,39,2
duwi894,10,29,5,5,5,45,4
hasa034,7,26,4,4,4,38,0
magu282,13,29,4,8,5,47,6
pile112,13,32,4,6,6,50,1
sivi804,8,20,3,7,4,36,0
maho931,10,21,3,4,4,34,2
waho571,10,26,3,3,3,37,0
mowy859,3,24,2,2,3,31,5
rihi168,6,18,2,3,1,24,5
siry766,8,30,5,3,3,41,2
qefe646,6,16,3,4,2,26,5
zojo883,12,32,5,7,4,50,1
dero258,12,31,5,3,4,46,4
mika525,8,26,5,1,3,35,0
xohi599,11,28,5,6,5,45,4
tebe135,13,22,4,5,4,37,2
naso669,8,20,2,4,3,29,5
qecu035,10,32,5,5,4,47,2
zywy107,8,30,5,1,2,38,0
cave700,7,24,3,3,0,30,5
nupy082,10,30,5,5,4,47,4
hoge626,15,34,5,4,5,51,1
nivo041,12,27,5,6,5,46,2
karo919,6,16,2,4,3,25,5
vuhe805,7,25,5,5,4,39,0
kebi083,8,24,5,7,5,43,4
faly535,10,24,3,4,1,34,5
gelo627,10,23,2,3,2,31,5
vili771,12,30,5,3,5,46,4
katu927,9,32,5,3,3,43,4
xiza150,4,16,3,3,4,28,5
bevi590,10,28,5,7,4,46,4
huve181,10,20,5,4,2,33,5
fite050,13,31,5,6,4,47,4
nysu060,13,28,5,4,5,45,4
kaho190,10,24,5,4,4,39,0
lany944,15,34,5,5,6,52,1
maqu534,11,28,3,4,5,41,0
wuga870,10,28,4,3,5,40,0
wyva352,11,26,5,7,4,44,2
hime464,14,26,4,4,6,41,0
jexu775,11,27,5,5,4,42,0
tuga736,11,25,4,2,2,35,0
hyfe498,10,20,3,4,3,31,5
bomo360,10,32,5,6,5,48,4
lomo204,15,34,5,8,5,55,1
mipe544,9,28,5,4,4,43,4
hufy497,11,31,5,6,4,48,4
rapo919,15,31,4,0,6,43,2
gata076,2,14,2,4,0,20,3
muvo194,7,21,2,4,2,31,5
cywo537,8,24,5,6,5,41,0
xamy327,8,22,3,5,3,35,2
cogu074,10,26,5,7,6,46,4
rapo615,5,15,3,4,3,27,5
zady580,6,22,3,5,2,34,5
nujo284,12,26,4,4,6,42,0
syzu625,10,27,3,3,3,38,2
myte214,8,26,5,7,2,41,2
tyzo440,7,24,3,5,1,33,5
vyzo298,7,28,4,8,4,45,4
hiwu589,10,27,5,3,2,38,2
sazy810,10,26,5,8,5,46,4
turi097,8,22,3,8,3,38,0
foji729,7,26,5,6,4,42,0
dexe201,13,29,4,7,4,46,4
dosu709,9,28,3,7,3,41,0
doxe392,8,25,3,2,2,33,2
culu497,6,27,5,5,3,40,0
lije367,14,32,5,6,6,52,1
vice024,12,28,5,7,5,47,4
kapy740,8,27,5,8,5,47,4
