K,silhouette,best_threshold
2,0.44694023407615197,0.7
3,0.34817540110429634,0.9
4,0.28660524827485434,0.5
5,0.28373416090524595,0.9
6,0.2255429424605555,0.9
7,0.21391297935311765,0.9
8,0.19323479861700454,0.7
9,0.1847581783806656,0.7
10,0.18102459069514207,0.7
11,0.1769420646270395,0.7
12,0.1776999641911487,0.7
13,0.17668668270808022,0.7
14,0.17644324504304645,0.9
15,0.17775532767784863,0.9
