gmm_bic_best_label,count,share
0,137,0.2532347504621072
1,76,0.14048059149722736
2,53,0.09796672828096119
3,46,0.08502772643253234
4,144,0.266173752310536
5,81,0.14972273567467653
6,4,0.0073937153419593345
