feature,pearson,spearman
total_correct,1.0,1.0
accuracy,1.0,1.0
consecutive_correct_rate,0.9782273062404137,0.9836940580647805
longest_correct_streak,0.7320395795652194,0.8117091513477319
rt_cv,0.05454143382282773,0.10700790474243603
var_rt,-0.049267999967079826,-0.03093764418416675
avg_rt,-0.07803279988611436,-0.15114558364551808
response_variance,-0.6525730649390279,-0.8692965034027422
longest_incorrect_streak,-0.8189753510896525,-0.8626270187863323
total_incorrect,-1.0,-1.0
n_items,,
